,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b
68,6,5,4,3,2,5,5,6,1,1,12,4,4
69,1,5,5,5,5,5,5,2,2,3,14,3,1
70,6,2,4,1,4,4,2,1,5,5,18,2,6
71,5,5,5,5,4,5,5,2,4,5,4,1,5
72,5,4,5,8,5,5,5,6,3,1,39,2,1
73,5,2,2,1,1,1,2,4,3,3,14,3,5
74,6,4,5,8,2,8,5,2,1,4,5,3,5
75,5,4,4,2,1,1,4,5,2,3,15,1,4
76,6,5,5,8,5,8,5,2,4,5,12,2,2
77,4,5,5,2,5,5,5,6,3,3,18,2,3
78,6,2,4,1,5,2,5,6,1,1,13,3,5
79,6,5,5,5,5,5,5,6,2,4,9,3,4
80,3,5,5,5,5,5,5,6,1,1,8,3,3
81,6,2,4,1,5,2,3,8,5,5,13,4,6
82,6,5,5,5,5,5,5,6,4,4,12,1,6
83,2,-1,-1,-1,-1,-1,-1,2,1,-1,-1,2,5
84,-1,5,5,8,5,5,5,4,5,5,8,3,5
85,6,5,5,5,5,4,4,2,1,5,16,4,5
86,5,5,5,5,5,5,5,6,5,4,6,1,1
87,5,4,5,8,5,5,5,5,2,5,16,2,6
88,6,1,4,2,1,1,4,8,1,2,18,2,4
89,6,5,5,5,4,4,5,6,3,3,23,2,6
90,6,5,5,5,5,2,8,6,1,1,27,2,6
91,5,5,4,1,4,2,3,5,3,5,27,1,5
92,4,5,5,5,5,5,5,5,5,2,16,2,6
93,5,5,5,8,5,2,5,4,4,4,12,4,6
94,1,5,5,5,5,5,5,6,1,1,17,1,1
95,1,8,8,8,8,8,8,-1,-1,1,-1,2,1
96,5,5,5,5,4,8,5,4,2,2,21,4,2
97,5,5,5,8,5,4,5,6,5,4,10,3,5
98,6,1,2,1,1,1,1,2,1,4,15,2,2
99,3,2,2,2,2,2,2,4,3,3,24,3,3
100,2,5,5,8,8,8,8,6,6,3,99,-1,2
101,6,2,2,2,1,1,2,6,1,3,20,2,5
102,4,5,5,5,5,5,5,6,1,1,99,1,1
104,4,4,4,2,2,2,5,5,3,2,21,2,6
105,2,2,5,3,8,1,4,2,1,2,11,2,3
106,5,4,5,8,4,2,4,6,2,4,17,2,4
107,6,4,5,8,5,2,5,5,6,5,14,2,6
108,6,4,5,4,5,3,4,4,5,5,18,1,6
109,3,8,8,8,8,8,8,-1,-1,1,99,2,6
110,6,5,5,5,5,5,5,5,5,2,23,2,6
111,2,2,3,8,3,2,3,2,5,5,10,3,4
112,4,5,5,8,5,5,5,2,1,1,13,1,6
113,6,5,5,2,5,5,5,5,1,2,14,4,6
114,6,5,5,2,5,4,5,6,1,1,12,2,6
115,6,4,4,2,4,4,5,5,1,2,15,2,5
116,6,5,5,5,5,5,5,6,1,3,14,3,3
117,6,4,5,1,4,8,4,2,1,1,19,2,3
118,2,5,5,1,2,2,4,4,1,4,32,4,4
119,4,5,4,1,4,2,4,6,3,4,15,2,2
120,4,2,4,2,2,2,3,8,1,2,15,2,4
121,3,3,3,2,5,1,8,5,4,3,18,4,6
122,2,1,3,1,1,1,1,8,1,3,16,2,3
123,4,8,8,8,8,8,8,-1,-1,-1,-1,-1,3
124,6,2,4,3,5,5,4,2,3,5,10,3,6
125,6,5,5,3,4,4,3,6,2,2,25,4,6
126,5,2,2,2,2,1,2,8,2,2,16,4,5
127,4,5,2,1,1,1,1,6,3,2,16,2,4
128,6,8,8,8,8,8,8,3,2,3,17,2,6
129,3,5,5,4,4,4,4,4,1,1,20,2,6
130,4,2,2,8,2,-1,-1,2,2,-1,20,-1,-1
131,6,5,5,5,5,5,5,6,1,1,12,3,6
132,6,8,8,8,8,8,8,1,4,4,21,1,6
133,6,2,5,8,8,3,5,4,3,2,14,2,4
134,6,2,2,2,2,2,2,6,6,1,-1,2,1
135,5,8,8,8,8,8,8,2,2,1,-1,1,5
136,4,8,8,8,8,8,8,-1,-1,6,-1,-1,-1
137,4,5,5,5,5,5,5,4,5,2,13,4,5
138,5,5,5,8,4,5,5,2,4,3,16,2,5
139,2,8,8,8,8,8,8,-1,-1,-1,-1,2,5
141,4,4,5,5,2,1,5,6,1,2,15,2,4
142,6,2,5,5,5,5,5,1,6,6,13,2,6
143,1,5,5,5,5,5,5,6,1,1,12,3,1
144,6,5,5,5,5,5,5,4,4,3,4,2,6
145,5,5,5,8,5,3,5,6,2,2,17,2,3
146,6,5,4,1,2,2,5,6,1,1,18,4,6
147,4,1,3,3,1,3,5,4,3,3,15,3,4
148,5,1,4,2,3,2,4,5,1,5,11,2,5
149,6,2,4,3,4,2,1,4,2,5,15,3,6
150,4,2,2,1,2,1,2,2,5,5,11,4,5
151,5,2,4,1,3,2,3,4,4,4,7,3,3
152,5,5,5,2,2,2,2,5,2,1,-1,3,3
153,6,2,3,1,3,1,3,6,4,4,16,2,4
154,6,5,5,5,5,5,5,6,1,1,12,2,6
155,6,4,3,5,2,1,5,2,3,6,6,1,4
156,6,5,5,8,5,8,4,6,6,4,-1,2,6
157,6,4,5,1,1,3,5,6,1,1,12,4,6
158,5,3,4,1,1,2,3,4,3,2,6,2,3
159,6,5,5,5,3,2,5,6,3,2,18,3,3
160,4,5,5,3,3,4,3,4,4,4,7,4,6
161,3,5,5,5,5,5,5,6,6,5,9,1,4
162,5,1,2,1,2,1,1,8,3,4,24,2,6
163,6,5,5,5,5,5,5,6,1,1,11,3,4
164,-1,5,5,5,5,5,5,5,5,5,6,3,5
165,6,5,5,5,5,5,8,6,1,2,23,3,5
166,6,4,5,2,3,3,4,5,2,2,14,4,6
167,5,5,5,8,5,5,8,6,1,1,12,3,4
168,4,4,4,1,3,2,4,3,1,1,20,2,5
169,4,5,5,5,5,5,5,3,1,1,12,3,4
170,6,5,5,5,5,5,5,6,1,1,7,4,1
171,6,5,5,5,5,5,5,6,1,1,11,4,6
172,6,5,5,8,3,5,4,5,1,4,12,3,6
173,3,5,4,5,5,5,1,3,1,1,18,3,4
174,4,5,5,5,5,5,5,3,3,3,20,3,4
175,6,4,5,-1,5,4,4,6,1,2,10,3,6
176,5,2,2,1,4,1,2,8,1,2,14,2,2
177,5,4,3,2,2,1,4,1,1,4,17,3,6
178,6,2,2,8,2,4,1,1,4,4,27,2,6
179,5,3,4,2,2,1,4,6,1,3,13,-1,3
180,6,4,5,8,5,4,5,2,5,5,5,1,6
181,5,4,5,1,4,2,8,6,1,3,27,2,3
182,4,5,5,5,5,4,5,3,2,1,2,2,1
183,6,3,4,1,3,2,1,4,2,5,12,1,5
184,3,1,2,2,3,1,2,8,4,5,14,4,4
185,6,5,5,8,5,4,8,6,3,-1,21,2,3
186,6,3,5,8,4,4,5,5,3,5,17,2,4
187,6,5,5,4,5,5,5,6,1,1,15,4,4
188,5,5,5,8,5,8,5,2,4,4,7,3,5
189,6,5,5,5,5,5,5,6,5,1,9,2,5
190,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,3
191,6,5,5,5,4,4,4,3,4,4,24,2,4
192,6,2,5,8,5,2,3,2,2,3,5,4,6
193,4,1,4,1,8,2,4,8,2,4,16,1,3
194,4,4,4,3,4,2,2,4,2,5,10,2,3
195,6,2,5,4,4,1,1,4,4,4,10,2,6
196,1,5,5,1,1,1,1,6,1,1,18,3,1
197,5,1,2,1,1,1,1,8,1,1,28,4,5
198,5,5,5,5,5,5,5,6,4,5,11,2,6
199,6,3,3,3,3,3,3,2,3,2,-1,2,6
200,5,4,5,8,2,1,5,4,4,5,28,2,5
201,6,4,4,2,3,1,4,6,4,4,21,4,5
202,6,5,5,8,5,5,5,5,1,3,16,2,6
203,4,5,5,1,5,5,5,-1,-1,-1,99,-1,-1
204,6,1,2,1,2,1,3,1,2,5,40,2,6
205,3,2,5,8,5,1,4,3,4,5,13,2,5
206,6,2,2,8,2,2,5,8,6,6,7,3,6
207,3,2,2,2,1,2,2,4,2,3,-1,4,4
208,5,4,4,1,2,2,2,1,1,-1,-1,2,5
209,6,1,5,1,4,4,4,2,5,6,18,2,5
210,4,8,8,8,8,8,8,-1,-1,-1,-1,2,4
211,5,8,8,8,8,8,8,-1,1,1,-1,1,5
212,1,8,8,8,8,8,8,-1,-1,-1,-1,-1,6
213,5,5,5,8,5,4,5,3,3,5,27,2,5
214,6,2,5,1,2,2,4,8,2,4,16,2,4
215,6,4,5,8,4,4,8,6,3,4,18,1,5
216,6,3,4,2,2,1,4,5,2,4,7,3,5
217,6,3,5,8,8,1,3,5,5,6,10,3,3
218,6,2,4,1,1,2,3,6,3,5,15,4,6
219,4,4,5,8,5,5,5,5,3,1,14,2,5
220,5,2,4,8,2,1,2,2,5,3,12,3,6
221,5,5,4,8,3,2,5,6,5,4,16,2,5
222,6,4,4,4,2,1,8,6,1,4,9,4,6
223,5,4,5,5,5,5,5,4,5,5,15,3,5
224,6,1,2,2,3,2,2,1,5,6,7,2,6
225,6,5,5,4,5,5,8,6,2,3,15,3,5
226,2,8,8,8,8,8,8,-1,-1,-1,-1,-1,4
227,5,3,4,8,5,2,3,3,5,5,20,2,5
228,3,2,4,2,2,4,4,3,2,5,13,2,5
229,6,2,5,8,5,1,5,4,6,3,11,4,6
230,5,8,8,8,8,8,8,2,2,3,-1,3,3
231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,5,2,5,8,2,1,4,3,3,3,8,1,5
233,5,5,5,5,3,8,5,5,2,4,14,2,3
234,6,4,2,8,2,1,2,5,1,5,26,4,5
235,6,5,5,5,5,5,5,4,1,1,21,1,6
236,2,2,5,1,4,4,4,3,2,3,19,2,1
237,4,1,2,1,1,2,3,2,4,4,20,1,4
238,5,2,5,1,1,1,3,3,3,3,14,2,6
239,1,4,2,3,3,4,4,8,2,1,-1,1,1
240,3,8,8,8,8,8,8,6,1,1,-1,4,5
241,1,5,5,5,5,5,5,-1,-1,1,99,2,1
242,5,4,4,8,1,1,4,4,4,4,9,2,5
243,6,2,4,8,2,5,8,2,2,2,23,2,5
244,6,4,4,1,1,4,4,6,1,6,4,2,4
245,6,2,5,1,3,1,5,3,2,5,14,1,3
246,4,5,5,1,2,5,5,6,6,1,15,1,6
247,4,8,8,8,8,8,8,8,1,1,-1,-1,-1
248,5,2,5,8,3,1,3,2,4,5,34,3,6
249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,4,2,5,8,5,8,3,6,1,1,6,1,4
251,6,3,5,2,4,1,5,2,4,5,17,2,6
252,3,2,4,2,4,3,4,1,1,4,12,2,4
253,4,4,5,8,5,8,5,6,1,1,12,2,6
254,4,2,4,4,1,4,4,2,6,5,14,2,5
255,5,2,2,1,1,1,3,3,2,4,13,2,2
256,6,4,4,2,5,4,4,4,2,2,23,2,6
257,3,2,5,2,8,4,5,3,4,5,10,2,3
258,6,4,4,8,8,8,8,3,3,5,18,4,6
259,3,5,5,4,5,4,5,2,5,3,16,3,3
260,1,8,8,8,8,8,8,-1,-1,-1,-1,3,6
261,5,1,2,1,1,1,2,3,4,4,13,4,6
262,5,3,5,8,5,4,4,4,2,5,7,3,6
263,6,4,3,2,2,8,2,1,3,4,40,4,5
264,5,2,4,2,1,2,4,4,2,4,17,3,5
265,4,5,5,4,5,4,5,2,3,5,21,3,3
266,5,2,5,2,1,2,3,4,1,2,20,5,6
267,6,2,5,1,5,3,5,2,3,2,14,4,-1
268,6,4,5,5,5,5,5,1,4,6,12,4,5
269,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
270,6,2,5,8,4,1,4,4,4,5,15,2,5
271,6,1,1,1,1,1,1,1,-1,6,-1,-1,6
272,6,5,5,5,5,5,5,1,4,4,9,2,5
273,6,4,4,4,4,4,4,6,4,4,5,4,6
274,4,1,1,1,1,1,1,1,1,1,99,1,1
275,3,8,8,8,8,8,8,-1,-1,-1,-1,-1,4
276,6,2,5,4,4,1,2,2,3,3,11,2,6
277,5,5,4,5,5,2,2,5,4,4,20,2,5
278,-1,5,5,3,5,5,3,6,4,2,15,1,1
279,5,5,5,4,2,2,1,5,1,5,15,2,5
280,4,8,8,8,8,8,8,-1,-1,-1,-1,3,1
281,6,5,5,4,4,5,5,4,1,5,14,4,1
282,4,5,4,5,3,5,3,4,3,3,21,3,3
283,6,5,5,8,5,5,5,6,5,4,9,3,6
284,6,2,5,4,5,1,4,3,5,5,18,4,6
285,6,5,5,1,5,2,5,6,1,1,15,2,6
286,4,8,8,8,8,-1,1,6,1,1,10,2,6
287,4,4,5,1,2,3,4,2,1,1,10,4,-1
288,5,5,5,5,5,5,5,5,1,4,5,2,2
289,6,2,5,8,5,2,5,1,1,6,31,2,6
290,5,5,5,5,4,5,5,5,4,4,9,4,6
291,6,2,5,2,3,1,2,1,1,1,27,4,6
292,4,3,4,2,1,2,1,4,4,4,15,2,6
293,6,5,5,5,5,5,5,6,1,1,1,4,3
294,3,2,3,8,2,2,4,4,2,3,18,2,3
296,2,5,5,8,4,5,5,6,5,5,4,2,4
297,3,3,3,2,2,3,2,6,6,4,40,3,1
298,3,2,5,1,1,1,5,2,2,4,2,5,5
299,6,5,5,5,5,1,3,2,5,5,17,2,6
300,5,2,5,8,5,2,2,6,4,2,16,4,5
301,4,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1
302,4,5,5,5,5,5,5,6,6,6,17,5,5
303,5,5,5,5,5,5,5,2,4,5,19,2,6
304,6,2,5,1,5,4,4,1,5,6,10,2,4
305,6,8,8,8,8,8,8,2,2,1,-1,4,6
306,6,4,5,5,5,5,5,4,2,5,16,4,6
307,6,2,5,1,1,4,5,2,1,4,27,4,5
308,6,4,5,5,-1,4,5,1,3,6,19,1,6
309,3,2,5,1,-1,-1,-1,1,3,2,-1,2,2
310,2,2,4,1,4,8,2,4,1,4,18,2,5
311,5,5,5,5,5,5,5,5,1,3,15,3,3
312,6,1,3,1,2,1,5,-1,1,6,18,3,6
313,4,5,5,1,5,5,5,1,3,3,15,3,5
314,5,2,4,5,4,3,1,3,2,3,21,4,5
315,5,4,5,5,2,2,2,3,3,3,17,4,5
316,4,5,5,5,3,1,4,4,4,3,12,2,6
317,6,4,5,5,4,4,5,5,6,5,8,4,6
318,5,5,5,5,5,5,5,6,3,3,8,3,5
319,4,5,5,5,4,4,5,5,1,3,14,2,2
320,-1,5,5,5,4,5,5,6,3,1,12,3,6
321,6,5,5,8,5,2,5,6,3,3,14,4,6
322,5,3,4,8,2,2,1,3,5,4,19,3,5
323,3,2,3,1,2,1,5,1,3,3,18,5,4
324,5,5,5,8,5,5,5,6,2,2,8,2,5
325,6,2,2,8,8,1,2,5,2,6,3,4,6
326,3,3,5,2,4,2,4,3,3,4,23,4,3
327,3,4,4,8,2,4,1,3,1,2,27,4,6
328,5,2,5,1,5,2,1,8,3,4,16,2,6
329,6,5,5,8,5,8,5,5,5,4,15,1,6
330,5,2,4,1,3,1,3,1,1,5,14,4,6
331,6,2,5,1,5,5,5,1,6,6,21,4,1
332,6,5,5,5,5,5,5,5,5,6,24,4,6
333,6,2,2,2,1,1,1,4,4,4,10,4,6
334,6,5,5,5,5,5,5,6,1,1,-1,3,6
335,5,5,5,8,5,5,5,3,1,2,14,3,3
336,2,5,5,1,5,2,5,3,4,4,14,4,5
337,1,2,2,2,2,2,2,2,2,1,-1,1,1
338,3,3,3,3,3,3,3,3,3,2,18,2,3
339,6,5,5,5,5,5,5,6,1,3,-1,4,6
340,6,5,4,8,4,1,2,6,4,5,35,2,6
341,5,4,4,8,2,2,2,5,1,4,12,2,3
342,6,5,5,2,2,2,4,6,1,1,16,4,6
343,4,2,4,1,4,1,4,4,4,5,16,2,6
344,3,3,5,2,1,2,5,3,2,4,18,4,5
345,4,5,1,8,8,8,8,6,1,1,-1,4,5
346,5,1,3,1,4,2,4,3,3,6,13,4,6
347,6,5,5,5,5,5,5,4,3,3,21,4,5
348,6,2,4,8,1,8,5,4,2,5,18,2,4
349,4,5,3,1,1,2,2,3,3,3,21,5,3
350,6,5,5,8,5,5,5,5,3,3,-1,4,6
351,4,5,5,2,4,5,5,4,5,4,13,-1,3
352,5,5,4,1,2,2,4,6,2,4,13,4,6
353,1,1,1,1,1,1,1,6,1,2,99,2,2
354,6,2,2,3,3,3,2,5,1,1,9,2,6
355,4,2,4,1,1,1,2,3,5,3,25,4,5
356,5,5,5,5,8,4,5,6,4,5,10,4,6
357,6,4,5,1,4,2,4,4,5,4,16,2,4
358,6,4,4,4,4,1,4,4,1,4,13,3,1
359,6,4,4,4,4,4,4,6,1,1,20,4,6
360,3,3,5,1,3,3,3,4,4,4,-1,3,4
361,3,2,5,8,5,4,5,4,2,5,14,4,4
362,4,1,4,8,1,1,3,1,1,6,16,3,6
363,5,2,3,1,2,2,1,6,1,1,0,3,5
364,4,8,8,8,8,8,8,-1,-1,1,-1,-1,-1
365,6,4,8,3,3,2,8,3,3,3,20,2,6
366,2,1,2,2,3,3,3,2,4,2,15,4,2
367,5,5,5,5,5,5,5,6,4,4,12,2,3
368,1,1,2,2,2,2,2,3,3,2,5,2,3
369,6,2,3,1,2,4,2,2,2,3,13,4,5
370,5,2,4,1,4,2,2,3,2,2,19,3,2
371,6,1,2,1,4,1,1,3,1,1,-1,2,6
372,1,1,4,1,1,2,3,1,4,5,19,1,3
373,6,5,5,5,5,5,5,5,4,1,15,2,3
374,6,4,2,1,2,2,1,8,1,1,0,1,6
375,2,5,5,5,5,5,5,6,3,3,12,4,4
376,1,2,5,1,3,2,5,3,1,1,16,4,2
377,6,5,5,5,5,5,5,2,3,5,12,2,2
378,5,5,5,5,5,5,5,1,3,3,12,2,4
379,6,8,8,8,8,8,8,8,5,3,-1,2,6
380,4,2,2,2,1,1,1,2,2,2,28,3,3
381,5,2,4,1,3,3,3,5,4,4,7,4,6
382,6,5,5,5,5,5,5,6,1,1,8,3,3
383,6,5,5,8,8,1,5,4,1,3,24,3,6
384,6,4,5,8,5,1,5,6,3,4,17,4,6
385,6,1,4,1,2,1,2,-1,-1,1,99,4,6
386,6,5,5,5,5,5,5,6,6,1,8,3,4
387,3,5,5,8,5,4,5,6,2,2,6,3,1
388,3,8,8,8,8,8,8,8,1,1,19,2,3
389,5,4,5,8,2,4,5,5,4,3,25,4,5
390,5,5,5,1,5,5,5,5,5,5,20,2,6
391,6,4,5,5,5,1,5,3,1,6,5,2,3
392,6,5,4,2,3,1,3,6,3,2,17,3,4
393,4,8,8,8,8,8,8,6,1,1,-1,2,4
394,6,3,5,4,5,5,5,4,2,3,18,4,1
395,6,4,5,5,1,5,5,6,1,3,12,2,6
396,4,5,5,5,4,2,4,3,4,4,10,3,5
397,3,2,3,3,2,3,3,4,3,4,22,3,6
398,6,5,5,5,5,5,5,5,5,4,8,2,1
399,6,5,5,5,5,5,5,5,6,1,17,5,6
400,1,5,5,8,5,1,5,6,3,4,8,4,6
401,-1,4,5,8,5,5,5,4,4,5,13,2,5
402,6,4,5,8,5,5,5,5,3,6,13,1,4
403,6,4,4,4,2,2,2,4,4,4,12,2,6
404,6,5,5,1,4,1,4,6,1,6,17,4,6
405,6,4,4,4,4,4,4,3,1,5,22,4,4
406,3,5,5,8,5,1,8,4,1,1,14,2,6
407,6,1,5,1,1,1,5,6,1,1,13,3,6
408,6,5,5,8,5,3,5,6,1,2,18,2,6
409,5,5,5,8,5,4,5,6,1,1,15,2,5
410,6,4,5,1,1,5,5,5,1,4,18,2,5
411,1,5,5,8,2,8,2,3,2,2,14,4,5
412,3,5,5,5,3,2,4,6,3,5,25,4,3
413,3,2,3,2,3,1,2,2,4,4,15,2,3
414,5,2,2,2,4,2,2,5,3,5,4,3,5
415,5,4,4,2,2,2,2,3,3,3,13,3,1
416,1,2,5,1,5,2,5,4,1,1,21,5,1
417,6,5,5,5,5,5,5,6,2,2,19,4,6
418,6,4,4,2,4,4,4,6,1,1,14,4,1
419,6,5,5,5,5,5,5,6,3,3,10,5,6
420,6,5,5,5,5,5,5,5,2,2,10,4,2
421,6,5,5,5,5,5,5,6,5,5,1,4,6
422,6,5,5,5,5,5,5,6,3,1,-1,5,6
423,6,4,4,2,3,4,2,6,2,3,16,3,5
424,6,5,5,5,5,5,5,6,1,1,16,2,6
425,6,2,5,5,5,2,5,5,4,3,17,2,5
426,6,4,5,8,5,4,5,5,1,1,19,4,5
427,1,5,5,5,5,5,5,6,6,4,13,4,4
428,6,4,4,4,4,4,4,6,3,2,20,2,3
429,6,5,5,5,5,5,5,6,2,3,12,4,6
430,1,8,8,8,8,8,8,6,1,1,-1,4,1
431,6,3,4,4,4,4,4,1,-1,4,40,4,6
432,6,2,4,1,2,1,2,3,1,1,17,5,1
433,6,4,4,2,2,2,2,4,1,2,23,2,6
434,6,5,5,5,5,5,5,5,5,2,15,4,5
435,6,5,5,5,5,5,5,6,-1,-1,22,-1,6
436,6,4,4,1,5,5,5,5,4,5,15,3,5
437,3,4,5,1,5,4,5,1,1,1,28,4,5
438,6,4,5,5,4,8,5,4,1,1,20,4,5
439,6,5,5,5,5,5,5,6,3,1,10,5,6
440,6,5,5,5,5,2,5,4,6,4,32,4,6
441,5,2,-1,1,-1,1,-1,8,1,2,27,4,5
442,6,3,5,5,5,5,5,4,1,1,13,3,6
443,3,4,4,1,4,1,3,4,3,4,14,2,4
444,6,5,5,5,5,5,5,6,6,2,14,4,5
445,6,5,5,5,5,5,5,6,5,4,19,3,5
446,6,4,5,8,4,4,4,6,5,4,15,4,4
447,4,2,4,2,2,2,3,3,2,3,13,3,6
448,6,5,5,5,5,5,5,6,3,3,12,1,6
449,4,5,5,8,5,5,5,6,1,1,13,2,6
450,6,1,3,2,-1,-1,-1,4,3,1,18,4,6
451,4,3,4,1,1,5,5,3,1,3,1,4,-1
452,6,2,2,1,3,4,2,2,1,2,13,3,5
453,5,1,2,8,8,1,1,8,4,4,28,2,5
454,6,3,2,1,4,4,5,6,1,1,15,3,5
455,6,4,5,8,2,1,3,6,1,1,12,2,3
456,1,8,8,8,8,8,8,-1,-1,1,99,-1,-1
457,5,4,4,1,2,2,5,4,1,3,15,3,3
458,6,5,5,5,2,2,5,6,3,5,9,3,3
459,6,5,5,5,5,5,5,6,1,1,16,4,6
460,6,1,2,1,1,1,2,8,6,4,19,2,1
461,6,4,5,8,5,1,4,6,4,4,19,2,5
462,4,4,5,1,8,1,5,5,3,4,12,2,6
463,6,5,5,5,5,5,5,6,2,1,14,2,4
464,3,1,4,1,4,2,4,3,3,1,30,3,4
465,5,5,5,1,5,1,5,5,2,1,9,2,4
466,5,5,5,1,1,5,5,1,6,6,12,3,3
467,6,8,8,8,8,8,8,-1,-1,1,99,4,1
468,5,5,5,1,2,4,5,6,1,1,33,4,6
469,6,3,5,2,5,2,5,3,5,5,12,3,6
470,6,5,5,5,5,5,5,6,2,2,13,2,2
471,6,5,5,1,5,5,5,1,3,1,13,4,4
472,4,2,2,1,1,1,1,3,3,3,9,4,5
473,6,5,5,5,5,4,5,6,4,4,7,3,5
474,5,2,4,1,4,4,3,3,1,4,16,2,5
475,4,2,2,8,2,1,2,1,4,4,10,3,6
476,5,5,5,5,5,5,5,6,6,6,7,2,6
477,6,5,5,5,5,5,5,5,5,3,23,2,3
478,6,5,5,8,5,2,5,6,3,1,5,2,6
479,6,5,5,5,5,5,5,4,3,5,9,2,4
480,-1,2,2,1,2,2,2,3,2,2,19,2,3
481,3,8,8,8,8,8,8,-1,-1,-1,-1,2,2
482,3,5,5,8,5,5,5,6,3,3,22,2,4
483,6,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1
484,6,1,4,1,1,1,4,3,1,3,12,2,6
485,6,3,5,5,5,4,5,5,5,5,5,2,5
486,6,5,5,2,2,2,5,6,2,2,5,4,6
487,6,5,5,3,3,4,5,6,3,3,18,4,4
488,5,5,5,5,5,5,5,4,1,3,17,3,6
489,-1,5,5,5,5,5,5,6,4,1,17,2,3
490,2,3,5,8,5,2,3,6,2,4,25,4,1
