,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f
27,1,1,1,2,2,1,1,1,1,1,3,2,3,6,5,2,2,1,1,1,1,1,2,1,6,2,1,1,2,2,6,1,1,1,1,1,5,1,1
28,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1,7,7,3,2,1,1,1,3,6,2,4,2,4,3,-1,-1,-1,-1,-1,-1,1,2,2,1,1,2,2,4,3,2,5,2,1,2,1,1,1,1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1
31,6,2,3,3,3,1,5,1,6,3,5,5,3,3,3,1,1,2,1,1,1,3,3,4,5,1,1,1,1,3,3,3,1,4,4,4,4,1,1
32,1,1,1,2,1,1,3,1,4,5,5,5,4,6,4,1,1,1,1,1,2,5,6,6,6,2,3,4,4,5,6,2,2,2,2,2,2,1,1
33,1,2,1,2,1,1,4,1,1,6,2,6,3,4,2,1,2,1,1,1,1,2,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,6,6,3,3,1,1,1,6,1,1,4,6,6,6,2,2,2,2,2,2,5,5,3,6,1,2,6,5,3,6,1,2,5,5,3,6,1,2
35,1,6,5,3,3,1,6,1,6,6,6,6,6,5,6,8,8,8,8,8,8,1,1,1,1,1,1,4,3,4,3,3,4,3,2,3,2,2,4
36,2,3,1,1,2,-1,2,1,6,6,2,5,6,3,6,1,1,2,1,3,1,4,6,3,6,6,1,1,6,3,6,6,1,2,6,1,6,1,1
37,3,1,2,3,-1,1,1,1,6,3,1,2,1,2,4,2,2,2,2,2,2,1,1,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1
38,4,1,1,-1,2,1,6,1,6,4,4,5,4,4,4,2,2,2,1,1,1,3,3,3,4,2,2,4,6,6,6,6,6,2,2,2,2,2,2
39,1,7,7,-1,-1,1,4,1,6,4,3,6,6,6,6,-1,-1,-1,-1,-1,-1,1,1,1,6,1,4,1,1,1,6,1,5,1,1,1,6,1,4
40,2,4,3,1,1,1,6,1,3,3,3,5,5,4,2,8,8,8,8,8,1,1,4,2,1,1,2,1,2,2,6,1,2,1,4,2,1,1,2
41,2,7,7,4,-1,1,4,1,4,2,1,2,3,6,6,2,2,2,8,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
42,4,4,3,1,-1,1,2,1,6,6,6,6,3,6,6,1,1,1,1,1,1,2,3,4,6,1,2,2,3,3,6,1,2,2,2,3,6,1,1
43,1,1,3,1,1,1,3,1,6,6,4,6,1,3,6,3,8,1,8,2,2,1,2,3,3,1,1,5,4,3,2,1,1,1,2,3,3,1,1
44,4,2,4,3,-1,1,3,1,6,6,6,6,6,4,5,2,2,2,2,2,2,2,4,4,6,1,2,2,3,3,3,3,3,3,3,3,3,3,3
45,2,5,4,1,-1,1,2,0,4,2,2,2,1,3,3,-1,-1,-1,-1,-1,-1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1
46,2,3,2,1,1,1,2,1,2,1,1,1,5,6,4,1,1,1,1,1,2,2,2,5,4,3,2,4,3,5,4,5,2,1,2,2,1,1,1
47,2,1,1,2,2,1,4,1,6,5,6,5,3,5,5,1,2,2,1,1,2,2,4,4,2,1,1,2,6,5,5,4,2,2,2,1,1,1,1
48,1,7,7,3,2,1,1,1,2,6,5,5,2,2,3,2,2,2,1,1,1,2,4,3,6,4,4,2,3,2,3,2,3,1,1,1,1,1,1
49,1,1,2,2,4,1,5,1,6,5,5,-1,4,5,4,1,1,2,1,1,2,6,6,5,6,6,2,6,6,4,6,6,1,5,4,3,6,4,2
50,4,2,4,1,2,1,6,1,3,6,6,6,6,6,6,1,1,1,1,1,3,6,6,4,6,5,3,6,6,5,6,6,4,6,6,4,6,6,6
51,6,3,4,3,-1,1,6,1,6,3,4,6,6,6,6,2,1,2,1,1,1,2,6,2,2,2,2,2,6,4,6,1,1,2,6,3,5,1,1
52,1,1,1,-1,-1,-1,-1,1,6,6,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,6,5,6,4,2,1,6,1,6,3,4,6,4,4,4,2,1,1,1,2,1,1,1,3,6,1,4,1,3,5,6,1,2,2,2,2,5,1,2
55,6,4,6,3,3,1,6,1,6,6,4,3,3,3,3,2,2,2,2,2,2,4,4,4,6,2,3,3,3,3,3,3,3,3,3,3,3,4,2
56,6,5,4,3,3,1,5,1,6,6,6,6,6,6,6,1,8,2,1,1,1,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,4,2,2
57,1,6,1,3,2,1,3,1,2,4,1,5,3,3,3,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1
58,6,5,5,2,2,1,6,1,6,6,6,6,6,6,6,2,2,2,2,2,1,2,2,3,1,2,2,2,2,3,1,2,2,2,2,-1,1,2,2
59,5,1,1,4,2,1,2,1,5,2,2,3,6,4,5,2,2,2,1,2,1,3,6,5,6,6,4,2,2,4,3,3,2,1,1,3,3,1,2
60,1,7,7,3,-1,1,2,1,5,3,3,5,4,4,3,2,2,2,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1
61,6,2,6,3,-1,1,6,1,6,3,1,6,3,3,3,1,1,1,1,1,1,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2
62,5,4,4,3,3,1,1,1,6,6,3,6,3,3,6,2,2,2,2,2,1,2,4,1,5,1,2,1,1,1,1,1,3,1,1,2,1,-1,2
63,6,2,6,2,3,1,3,1,5,5,5,5,4,5,5,2,2,2,2,2,2,2,6,5,5,1,2,2,3,2,2,1,1,2,2,1,2,1,1
64,1,1,1,-1,-1,1,3,1,6,5,5,5,5,5,5,2,2,2,2,2,-1,1,2,4,6,2,2,1,1,1,1,1,-1,1,1,1,1,1,-1
65,1,2,6,3,1,1,6,1,6,6,4,4,6,6,6,8,8,1,8,8,1,1,6,6,6,1,1,1,1,6,6,6,1,1,6,6,6,1,1
66,6,6,6,-1,-1,-1,1,1,-1,1,1,4,3,5,6,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,2,2,2,4,-1,-1,3,3,3,5,-1,3
67,1,6,6,1,1,1,2,1,6,6,3,3,3,3,3,2,2,2,2,1,2,1,1,2,2,3,3,2,2,1,1,1,2,1,1,1,1,2,2
68,4,2,2,3,1,1,4,1,6,6,4,3,3,6,-1,1,2,1,1,1,1,4,2,6,6,1,6,1,1,6,6,1,1,1,1,6,6,1,1
69,4,3,6,3,4,1,4,1,4,6,6,6,6,6,6,2,1,1,1,1,1,4,5,4,4,3,5,2,2,2,2,2,2,4,4,4,4,4,4
70,6,6,6,2,2,1,6,1,6,4,6,2,6,4,2,2,2,2,2,2,2,2,2,6,6,2,3,2,2,3,5,5,2,2,2,5,6,3,2
71,2,6,3,-1,-1,1,6,1,6,5,5,6,1,5,5,1,1,2,-1,8,2,1,4,6,6,1,6,2,4,6,6,1,6,2,2,6,6,1,6
72,1,4,4,4,-1,1,2,1,6,3,3,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
73,2,7,7,-1,-1,-1,4,1,3,2,1,3,1,4,4,2,2,2,2,2,2,6,6,6,6,1,1,1,2,2,1,1,1,1,1,1,1,1,1
74,1,2,3,4,3,1,6,1,6,6,4,6,6,4,6,2,1,2,1,1,1,3,5,4,6,6,3,1,1,3,4,6,2,2,5,5,6,6,3
75,1,6,3,2,2,1,2,1,4,2,3,1,5,3,4,2,2,2,2,2,1,1,5,4,6,3,2,1,2,1,4,1,1,1,1,1,1,1,1
76,1,1,1,3,3,1,4,1,2,2,4,6,3,6,6,1,2,1,1,2,2,1,3,4,2,1,1,1,3,3,2,1,2,1,3,3,2,1,1
77,5,4,3,2,2,1,2,1,5,3,3,3,2,3,3,1,1,1,1,1,1,2,3,4,6,4,3,2,3,4,6,4,3,2,3,4,6,4,3
78,1,6,1,2,-1,1,1,1,1,1,1,4,6,5,6,1,2,2,1,8,2,4,4,5,6,1,5,3,4,4,6,2,2,6,6,6,6,6,6
79,6,3,3,2,-1,1,4,1,6,4,3,4,6,6,6,-1,-1,-1,-1,-1,-1,4,6,6,6,5,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
80,3,6,5,3,-1,1,3,1,4,3,2,2,4,5,5,3,2,3,3,3,2,3,4,5,6,3,2,3,4,5,6,3,2,3,4,5,6,2,2
81,1,1,1,1,3,1,6,1,6,5,4,5,3,3,2,1,1,1,1,1,1,2,1,4,5,3,2,1,2,2,1,2,2,2,6,5,5,3,3
82,4,1,3,1,1,0,1,1,1,3,3,6,3,5,4,1,1,1,1,1,1,2,3,2,6,1,2,3,-1,1,5,1,2,4,4,1,4,1,2
83,4,2,1,4,-1,-1,6,1,6,6,6,6,2,6,6,1,1,2,2,1,2,4,2,6,6,1,2,1,2,6,6,1,2,-1,-1,-1,-1,-1,-1
84,4,1,1,2,1,1,5,1,6,5,1,6,4,6,5,1,2,2,1,1,2,4,6,4,3,2,3,3,6,-1,2,2,3,4,6,3,2,1,3
85,6,4,4,2,4,1,6,1,6,5,3,4,2,6,2,2,1,1,2,2,1,2,6,6,6,2,3,2,6,6,6,2,3,2,6,6,6,2,3
86,5,6,6,3,2,1,3,1,6,6,6,6,5,5,5,2,1,2,1,1,2,1,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
87,2,3,4,2,1,1,2,1,5,6,5,6,3,3,4,1,1,1,1,1,2,3,4,5,6,3,2,2,4,3,6,2,2,2,4,2,6,1,2
88,1,3,5,2,1,1,3,1,6,5,2,5,4,6,5,1,2,3,1,8,3,1,2,6,6,1,1,1,3,3,3,3,1,1,1,1,1,1,1
89,1,1,6,2,3,1,2,1,6,4,5,5,6,4,6,1,1,2,1,1,1,1,4,2,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1
90,1,2,4,3,1,1,4,1,6,5,6,6,4,6,5,2,2,2,2,2,1,2,2,6,6,1,3,1,1,2,1,1,1,1,1,2,1,1,1
91,1,2,1,2,2,1,4,1,6,5,4,6,6,5,6,1,1,1,1,1,1,1,4,5,5,4,2,1,2,3,3,2,1,1,1,1,3,1,1
92,1,3,5,1,1,1,5,1,6,4,6,4,4,4,6,1,8,2,8,1,2,3,4,4,5,1,1,4,4,5,5,6,1,2,2,1,2,1,1
93,6,3,3,3,1,1,4,1,5,4,4,4,5,6,6,1,1,2,1,1,2,4,4,6,6,1,2,4,4,6,6,1,2,4,4,5,6,1,2
94,3,2,2,2,-1,-1,1,1,1,1,1,1,1,2,2,-1,-1,-1,1,1,-1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2
95,2,4,2,-1,-1,1,3,1,1,1,1,6,3,3,6,8,8,8,8,8,8,1,2,1,3,1,2,1,2,1,1,1,1,1,2,1,1,1,2
96,2,3,2,3,2,1,1,1,6,6,3,6,3,6,6,1,1,1,1,1,2,3,5,1,6,2,2,2,3,1,2,1,2,1,1,1,1,1,2
97,4,1,1,3,-1,1,3,1,3,5,2,5,2,5,3,1,1,1,1,1,3,3,4,5,6,4,2,3,4,5,6,4,2,3,4,5,6,4,2
98,1,1,1,-1,-1,1,1,-1,3,2,5,5,2,3,2,2,1,2,1,1,1,2,6,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
99,5,1,1,3,3,1,3,1,4,3,3,3,4,3,5,2,2,2,2,2,2,2,5,6,6,1,2,2,5,6,6,1,2,2,5,6,6,1,2
100,1,6,6,2,3,1,2,1,3,5,4,6,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,3,1,1,2
101,3,5,5,2,3,1,5,1,6,1,1,2,3,2,6,2,2,1,1,1,1,1,1,2,3,1,2,1,2,1,2,1,1,1,2,1,2,1,1
102,2,1,1,-1,3,1,-1,1,6,3,2,3,5,4,4,8,2,1,1,1,2,5,5,6,6,1,-1,-1,3,4,6,1,2,2,2,2,2,2,2
104,1,4,5,1,2,1,4,1,4,3,4,5,4,3,5,1,2,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,1,2,6,2,2,1,2,1,5,4,6,6,3,4,4,2,1,1,1,2,1,1,2,4,6,1,2,1,2,5,6,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,4,1,6,4,1,4,4,5,6,1,1,1,1,1,1,1,2,3,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1
107,3,1,2,2,1,1,1,1,1,6,4,4,5,6,6,1,1,1,1,1,2,3,5,6,6,2,3,2,3,6,6,1,1,2,2,6,5,1,1
108,5,2,1,2,1,1,2,1,3,5,3,6,6,6,6,1,1,2,1,1,1,5,5,6,6,6,2,2,4,4,6,4,2,5,5,6,6,2,2
109,2,1,1,-1,-1,1,2,1,1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,6,6,4,3,3,1,3,1,6,6,3,6,3,5,5,2,2,2,2,2,2,2,3,4,6,3,3,2,3,4,5,4,3,2,2,2,4,4,2
111,6,1,2,1,3,1,1,1,1,5,4,6,4,3,3,1,1,2,1,1,2,6,4,6,6,2,6,3,2,2,3,2,5,1,1,1,1,1,1
112,1,1,1,-1,3,1,6,1,6,6,3,3,6,6,6,2,2,2,2,2,2,2,4,6,6,2,2,2,2,6,6,2,2,3,4,6,6,6,2
113,1,3,5,2,2,1,1,1,6,6,6,6,3,3,3,2,2,2,2,2,2,1,2,6,6,1,2,1,2,3,6,1,2,1,2,3,4,1,2
114,2,2,4,3,-1,1,5,1,6,-1,4,4,3,4,5,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,1,7,7,2,-1,1,6,1,6,4,3,5,2,6,6,1,2,2,1,1,1,2,2,6,6,4,2,1,1,1,1,1,1,2,2,2,2,2,2
116,1,3,3,1,-1,1,6,0,6,3,3,3,3,1,3,-1,2,2,-1,-1,1,2,5,6,6,2,3,1,1,2,2,1,1,1,1,2,2,1,1
117,2,3,3,-1,-1,1,6,1,6,1,1,5,1,2,4,1,2,2,2,2,2,1,2,2,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1
118,4,5,5,3,3,1,2,1,6,1,1,6,3,6,6,2,2,1,2,2,8,1,3,4,6,1,2,1,3,4,6,1,2,1,3,4,6,1,1
119,1,2,2,3,2,1,1,1,3,4,2,5,3,4,4,2,2,2,1,1,2,2,3,5,6,4,2,1,2,2,1,1,1,1,1,1,1,1,1
120,2,1,1,-1,3,1,3,1,5,2,3,5,2,3,2,2,2,2,2,2,2,1,1,2,5,1,1,1,2,6,5,1,1,1,1,2,5,1,1
121,6,2,5,3,3,1,6,1,6,5,4,6,3,4,2,2,2,2,2,2,2,4,3,5,6,2,3,3,3,6,6,4,2,3,3,5,6,2,2
122,2,7,1,4,2,1,1,1,6,6,5,6,2,6,4,3,3,3,3,3,3,1,2,2,4,2,2,-1,-1,2,2,1,1,1,1,1,1,1,1
123,3,7,7,4,3,1,3,1,4,4,3,5,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
124,4,3,4,2,2,1,3,1,5,5,2,5,5,5,6,1,1,2,1,1,2,4,3,6,6,2,2,3,3,6,6,1,2,2,3,6,6,2,2
125,6,4,3,2,2,1,5,1,5,6,6,6,5,6,5,1,1,2,1,1,1,2,3,4,5,5,5,2,3,4,5,5,5,2,3,4,5,5,5
126,2,2,2,3,3,1,3,1,6,6,6,6,6,6,6,2,2,2,1,1,1,4,5,6,6,2,4,4,5,6,6,2,4,4,5,6,6,2,4
127,4,6,4,3,-1,1,6,1,6,2,3,2,2,3,2,2,2,2,2,2,2,1,2,4,6,5,2,1,4,4,6,4,1,1,1,1,1,1,1
128,1,1,1,1,2,1,4,1,4,5,6,6,1,2,3,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
129,6,3,2,3,2,1,3,1,6,6,4,6,3,3,3,2,2,2,2,2,2,2,3,2,2,4,3,2,2,5,6,5,4,3,2,6,6,4,3
130,1,6,6,1,-1,1,3,1,6,2,4,4,2,6,6,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
131,6,6,5,3,3,1,6,1,6,6,6,6,6,6,5,-1,-1,-1,-1,-1,-1,4,4,6,6,1,4,2,4,6,6,1,4,2,4,6,6,1,4
132,1,6,6,3,3,1,6,1,6,6,6,6,4,6,6,1,1,2,1,1,3,2,4,6,6,4,3,4,3,4,6,3,2,2,2,2,5,2,2
133,1,5,4,3,-1,1,1,1,6,3,3,3,5,3,4,2,2,2,2,2,2,2,2,2,5,3,1,1,1,2,2,2,1,1,1,1,1,1,1
134,4,4,3,3,3,1,4,1,6,4,4,1,1,1,1,1,1,1,1,1,1,2,4,4,5,4,2,2,2,5,5,1,2,1,2,5,5,1,2
135,1,7,7,3,3,1,2,1,2,2,2,4,2,3,5,2,2,2,2,2,2,1,2,5,6,3,2,1,2,5,6,3,2,1,2,5,5,3,2
136,2,1,6,3,-1,1,1,1,2,5,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
137,1,5,5,1,1,1,3,1,6,6,3,6,3,3,5,2,1,2,1,1,1,1,5,3,4,1,2,4,6,3,6,1,5,6,6,6,6,6,6
138,2,7,7,2,-1,1,1,1,6,4,3,6,3,4,4,1,1,1,1,1,2,2,2,2,5,2,2,2,3,1,2,2,1,1,1,5,-1,2,1
139,3,7,7,3,-1,1,3,1,4,4,5,5,2,5,4,-1,-1,-1,-1,-1,-1,2,2,2,3,2,1,2,3,4,5,4,3,1,2,1,1,2,1
141,2,6,6,3,3,1,1,1,6,4,6,5,6,6,6,2,8,8,8,8,2,2,3,6,6,3,4,2,3,4,6,3,4,2,2,5,6,2,4
142,1,2,4,1,1,1,1,1,6,6,6,6,1,4,2,1,1,1,1,1,1,2,2,6,6,6,3,3,3,3,3,3,3,1,1,1,1,1,1
143,6,3,1,2,-1,1,3,1,6,3,3,6,6,3,6,1,1,1,1,1,1,2,5,5,6,4,5,2,5,5,6,4,5,2,5,5,6,4,4
144,6,2,6,1,2,1,6,1,6,2,5,5,6,3,5,1,2,1,1,1,2,3,6,5,6,5,6,4,3,5,6,6,4,3,2,4,5,6,4
145,1,1,1,1,1,1,2,0,4,4,6,4,5,6,6,1,1,1,1,2,3,3,4,1,6,1,1,2,3,2,3,1,2,1,2,1,1,1,1
146,5,3,3,3,3,1,5,1,6,5,4,4,5,5,5,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
147,4,3,3,-1,3,1,3,1,3,4,4,4,4,4,4,2,2,2,2,2,1,2,3,4,6,2,3,3,3,6,6,3,3,4,4,4,6,3,3
148,3,2,6,-1,-1,1,4,1,5,5,3,3,5,3,4,2,2,2,1,2,2,2,-1,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1
149,1,3,3,1,2,1,1,1,3,6,1,4,2,4,6,1,1,1,1,1,2,2,3,2,2,1,1,1,3,1,1,1,1,2,2,1,2,1,1
150,3,4,2,1,1,1,1,1,3,5,6,5,1,4,3,1,1,2,1,1,1,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1
151,1,4,3,2,2,1,2,1,6,6,5,4,3,3,5,1,2,2,3,3,3,2,5,6,6,2,4,1,2,5,4,4,2,1,1,5,5,1,3
152,2,7,7,-1,-1,1,5,1,2,3,5,4,2,2,2,-1,-1,-1,-1,-1,-1,1,3,2,2,1,1,1,3,2,2,1,1,1,3,2,2,1,1
153,2,3,1,3,1,1,1,1,6,3,2,6,3,2,6,8,1,2,1,8,1,1,2,2,6,1,2,1,2,2,6,1,2,-1,-1,-1,-1,-1,-1
154,1,6,6,4,2,1,4,1,6,1,2,5,5,4,6,1,1,1,1,1,1,2,6,6,6,1,3,1,2,6,6,1,2,1,5,6,6,1,2
155,1,5,4,1,1,1,2,1,6,6,6,6,3,2,3,1,8,1,2,8,3,2,3,3,6,2,2,1,1,2,4,1,1,1,1,1,4,1,1
156,2,3,2,1,-1,1,1,1,2,6,6,6,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,1,1,2,2,1,1,1,1
157,1,2,2,3,-1,1,6,1,6,3,1,5,2,4,3,2,2,2,2,2,2,1,2,2,4,1,1,1,1,3,3,1,1,1,1,2,3,1,1
158,1,1,1,2,2,1,2,1,4,3,3,4,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1
159,6,1,2,3,-1,1,6,1,6,1,2,2,2,3,3,2,1,2,1,2,2,2,4,4,6,2,2,2,4,4,6,2,2,2,4,4,6,2,4
160,2,1,2,-1,2,1,6,1,6,6,4,5,4,5,6,2,1,2,1,1,1,4,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4
161,3,6,6,1,2,1,1,1,1,1,4,5,1,6,4,1,1,2,2,1,8,4,6,6,5,1,3,2,4,3,5,1,3,2,5,5,5,1,4
162,1,7,7,-1,-1,-1,1,1,4,5,5,5,1,5,2,-1,-1,-1,-1,-1,-1,1,1,3,1,1,1,1,4,6,6,5,1,1,1,1,1,1,1
163,1,3,1,1,1,1,6,1,6,6,6,6,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
164,6,2,6,3,3,1,1,1,6,6,3,6,6,6,6,1,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
165,3,4,3,1,2,1,3,1,6,2,2,5,3,6,6,1,1,1,1,1,1,1,2,4,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
166,1,3,7,2,3,1,6,1,4,3,1,3,4,4,4,2,2,2,2,2,2,2,2,3,6,6,2,1,2,3,6,4,4,1,1,2,3,2,2
167,3,4,3,3,3,1,1,1,6,5,5,6,4,6,5,2,2,2,1,1,1,2,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
168,2,1,2,-1,-1,1,3,1,5,1,4,3,1,1,1,1,1,2,1,1,2,2,2,2,4,1,1,2,2,5,5,4,2,2,2,2,3,1,1
169,1,1,1,2,1,1,1,1,6,3,3,3,3,3,3,1,1,2,1,1,1,3,5,6,6,4,3,3,5,6,6,4,3,3,5,6,6,4,3
