,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d
90,3,3,3,2,3,1,7,7,4
91,2,4,3,3,3,1,1,2,8
92,2,2,2,2,2,7,6,2,7
93,4,3,2,3,2,1,1,4,3
94,3,3,3,2,2,1,1,4,4
95,3,3,3,3,2,1,8,4,7
96,1,2,3,4,3,1,8,6,4
97,1,1,1,1,1,1,6,1,1
98,3,3,3,2,2,1,1,4,4
99,3,3,3,3,3,1,1,4,2
100,3,3,3,4,4,1,8,1,1
101,1,2,2,3,3,8,8,4,1
102,3,2,3,2,1,1,7,4,4
104,-1,-1,-1,-1,-1,-1,-1,3,4
105,2,3,2,4,4,1,7,1,4
106,2,2,1,2,2,1,7,2,3
107,4,4,4,4,4,7,7,2,3
108,2,3,3,3,3,1,1,2,4
109,1,3,3,3,3,1,1,4,5
110,1,1,1,1,1,1,1,1,3
111,1,2,1,1,1,1,5,2,1
112,3,3,2,3,3,8,7,1,4
113,4,4,4,4,4,1,1,4,6
114,3,3,2,3,2,1,1,3,4
115,2,3,2,4,3,1,7,1,2
116,2,4,2,2,4,1,7,4,3
117,2,3,2,3,3,1,8,3,4
118,3,2,1,3,1,1,7,4,1
119,1,2,2,3,2,1,7,2,2
120,2,3,1,3,2,1,2,2,5
121,4,4,4,4,4,1,1,3,5
122,1,1,1,1,1,1,6,2,2
123,2,4,2,3,3,1,1,4,3
124,3,3,3,3,3,2,2,4,6
125,3,4,3,3,2,1,8,4,6
126,3,3,3,3,3,1,1,5,5
127,2,3,2,1,2,1,1,4,2
128,3,4,4,4,4,1,1,4,7
129,2,3,3,2,2,1,7,4,2
130,1,2,1,2,1,1,7,6,1
131,2,2,2,2,1,1,1,1,3
132,3,3,2,1,2,1,1,5,4
133,3,2,2,2,1,1,7,3,4
134,1,3,3,3,3,1,1,7,5
135,2,3,2,3,4,1,1,6,3
136,2,3,3,2,2,1,1,4,8
137,1,2,1,1,2,1,-1,4,2
138,1,2,1,2,2,1,6,3,1
139,3,3,2,3,3,1,1,3,4
141,4,2,3,3,1,1,8,7,5
142,4,4,4,4,4,1,1,7,7
143,4,4,4,4,4,8,8,7,8
144,2,1,1,1,1,1,8,1,3
145,1,1,1,1,1,7,5,3,3
146,2,2,2,2,2,8,8,4,3
147,3,2,3,3,3,8,8,5,3
148,2,3,3,3,3,8,8,5,3
149,2,2,1,2,2,7,3,2,2
150,1,3,1,3,1,8,6,2,2
151,2,3,3,3,2,8,8,4,2
152,3,4,2,3,4,1,6,3,4
153,-1,-1,-1,-1,-1,-1,-1,3,6
154,1,1,3,1,1,8,7,1,4
155,1,4,3,3,3,7,8,1,6
156,1,1,1,1,1,-1,-1,4,2
157,1,1,1,1,1,1,7,4,1
158,2,2,2,2,2,8,8,2,1
159,3,4,3,4,4,1,8,4,2
160,2,2,2,2,2,1,6,4,2
161,2,3,1,1,1,1,8,7,5
162,1,3,2,3,2,1,3,3,4
163,4,2,2,2,2,2,2,4,2
164,1,1,1,1,1,1,8,1,4
165,1,1,1,1,1,7,7,-1,1
166,3,3,1,3,1,8,7,1,3
167,1,1,1,1,1,2,7,3,1
168,2,2,2,3,2,8,8,-1,2
169,1,1,1,1,1,1,8,4,3
170,4,4,2,4,4,2,-1,4,3
171,4,4,4,4,4,-1,8,7,6
172,1,1,1,1,1,1,6,2,1
173,2,3,2,-1,2,1,1,4,4
174,4,4,4,4,3,1,2,4,8
175,1,1,1,1,1,5,5,-1,1
176,2,3,2,3,2,1,1,4,2
177,3,3,2,2,2,2,2,4,4
178,1,3,1,3,3,-1,3,4,1
179,1,2,4,4,2,8,8,5,5
180,1,1,1,1,1,2,-1,1,1
181,3,3,1,1,3,1,8,4,1
182,4,3,2,3,2,8,8,3,1
183,1,4,1,1,4,1,8,7,1
184,3,3,3,4,4,8,1,1,6
185,1,2,2,2,2,1,7,3,2
186,1,1,1,1,1,3,3,4,1
187,4,4,4,4,3,1,1,4,2
188,1,1,1,1,1,1,6,1,1
189,-1,-1,-1,-1,-1,-1,-1,7,4
190,3,3,2,2,2,8,8,4,3
191,4,4,2,3,4,7,8,5,3
192,3,3,2,2,3,8,7,1,1
193,2,2,2,3,2,1,7,4,4
194,4,3,3,3,3,1,8,1,5
195,2,3,3,3,3,3,3,5,5
196,1,2,3,3,3,7,7,1,1
197,2,3,3,3,2,3,8,5,4
198,1,1,1,1,1,8,6,4,3
199,3,4,3,-1,2,1,1,1,1
200,1,1,1,3,2,1,7,1,3
201,3,4,4,4,4,2,2,4,3
202,1,1,1,1,1,1,5,1,1
203,3,3,3,3,3,7,7,7,4
204,4,3,3,3,4,1,1,1,5
205,1,1,1,1,1,3,3,4,1
206,2,2,2,2,3,8,6,4,1
207,2,2,3,-1,3,3,3,4,2
208,2,3,2,3,3,8,8,4,3
209,3,3,2,3,3,1,1,3,4
210,1,1,1,1,1,3,3,4,1
211,1,1,1,1,1,5,6,4,3
212,1,1,1,1,1,8,5,4,1
213,1,1,1,1,1,5,6,4,1
214,1,1,1,1,3,3,5,4,1
215,1,1,1,1,1,5,5,4,3
216,1,2,1,2,2,3,3,3,1
217,1,1,1,1,1,7,5,2,1
218,1,1,1,2,1,3,3,4,1
219,1,1,2,3,3,8,8,4,1
220,1,1,1,1,1,6,6,4,1
221,1,2,1,2,1,1,7,4,2
222,2,3,2,3,3,8,8,4,5
223,2,3,2,2,2,2,6,2,1
224,2,2,2,3,3,5,8,2,1
225,1,2,2,3,3,6,7,5,1
226,2,3,2,1,3,8,6,5,3
227,1,1,1,1,1,1,7,1,1
228,1,3,2,3,3,8,8,4,2
229,1,1,1,1,1,5,6,-1,1
230,1,1,1,1,1,8,5,1,1
231,1,1,1,1,1,7,7,4,1
232,1,1,1,1,1,7,7,4,2
233,2,3,3,3,3,7,8,5,7
234,1,3,2,3,4,5,7,2,1
235,1,1,1,1,1,7,7,4,1
236,2,3,3,3,2,8,7,4,2
237,1,3,2,3,3,7,7,4,1
238,1,1,1,3,2,1,7,4,1
239,1,1,1,1,1,8,7,4,1
240,1,1,1,1,1,5,5,4,1
241,1,-1,-1,-1,1,-1,6,4,1
242,1,2,1,3,2,6,6,2,1
243,1,1,1,1,1,6,6,4,1
244,-1,-1,-1,-1,-1,8,8,4,1
245,2,2,2,2,2,8,8,3,1
246,1,3,2,3,2,7,8,4,6
247,4,4,4,4,4,2,2,4,8
248,3,3,1,2,2,1,6,4,2
249,1,1,1,1,1,5,5,2,-1
250,2,3,2,2,3,8,8,5,1
251,1,1,1,1,1,8,5,3,1
252,4,3,4,3,3,1,8,-1,8
253,1,1,1,1,1,3,3,4,3
254,2,4,4,4,4,8,8,7,1
255,2,3,3,3,4,1,8,7,1
256,2,2,1,3,1,1,1,4,2
257,3,3,2,2,3,7,7,3,4
258,4,4,1,1,4,1,8,4,2
259,4,4,4,4,4,1,1,4,3
260,1,1,1,1,1,4,4,4,1
261,2,2,2,2,2,7,3,4,3
262,3,3,2,3,2,2,6,1,3
263,4,3,3,3,3,1,1,-1,8
264,2,2,3,3,4,8,8,2,4
265,1,1,2,2,1,3,7,1,3
266,3,4,3,4,4,2,2,4,4
267,1,2,3,2,1,1,1,4,4
268,4,4,4,4,4,8,1,2,8
269,4,3,2,3,2,3,7,4,3
270,2,3,2,3,1,-1,7,4,3
271,-1,-1,-1,-1,-1,-1,-1,1,8
272,3,3,1,1,1,2,7,1,2
273,4,4,4,4,4,8,1,3,8
274,2,2,2,2,2,4,4,4,1
275,1,1,1,1,1,4,5,4,7
276,4,3,3,3,4,7,7,-1,8
277,3,3,3,3,3,8,8,6,7
278,4,4,4,4,4,8,8,7,5
279,-1,-1,-1,-1,-1,1,2,4,6
280,4,4,4,4,4,8,8,4,6
281,4,4,4,4,4,8,8,4,4
282,4,4,4,4,4,1,8,7,8
283,1,1,1,1,1,7,3,4,1
284,2,3,2,3,3,2,8,6,4
285,4,4,4,4,4,8,7,7,1
286,4,4,3,3,4,1,8,7,8
287,3,3,3,3,2,4,4,3,3
288,3,2,1,3,3,8,8,4,8
289,3,4,4,4,4,5,5,1,1
290,3,4,3,4,4,2,7,7,6
291,1,3,3,3,4,8,8,1,4
292,4,4,4,4,4,1,1,4,7
293,4,4,2,4,4,2,2,4,-1
294,1,1,1,1,1,2,7,7,2
296,4,3,3,4,3,8,8,7,1
297,3,3,3,3,3,4,4,2,8
298,1,1,1,1,1,1,5,1,2
299,1,4,4,4,4,1,8,6,2
300,1,2,2,2,2,1,1,1,4
301,1,3,1,1,1,1,1,4,4
302,4,4,4,4,4,8,8,5,5
303,3,3,1,3,3,2,8,2,1
304,1,2,1,3,2,2,6,1,2
305,3,3,3,4,4,7,7,-1,8
306,3,4,3,3,2,1,7,2,7
307,4,2,2,3,1,1,7,1,4
308,2,3,4,4,3,1,-1,3,7
309,3,3,2,3,3,1,1,4,3
310,2,3,2,3,2,1,1,5,3
311,1,2,3,3,2,1,1,3,3
312,1,1,1,1,1,2,2,4,3
313,3,3,2,3,2,2,2,4,6
314,4,4,3,4,4,1,2,6,4
315,4,4,4,3,4,1,8,7,-1
316,3,4,4,4,3,4,8,7,6
317,4,4,4,3,4,8,8,7,4
318,4,4,4,4,4,8,8,-1,8
319,4,4,3,2,4,2,2,1,2
320,3,3,3,3,3,8,8,4,6
321,1,1,1,1,1,2,7,4,1
322,1,1,1,1,1,5,5,4,1
323,4,4,-1,4,4,1,1,4,3
324,4,4,2,3,4,8,8,4,2
325,4,4,2,3,3,7,7,1,4
326,2,1,1,1,2,1,1,4,6
327,4,3,2,3,3,8,8,2,4
328,4,4,3,3,3,8,8,2,4
329,1,1,1,1,1,1,7,4,1
330,3,3,2,2,3,2,7,2,4
331,3,3,3,3,3,1,-1,4,1
332,3,3,1,2,1,8,7,4,2
333,4,4,4,4,4,5,8,1,6
334,3,4,2,3,3,8,8,7,3
335,1,1,1,1,1,8,8,4,1
336,3,1,1,1,1,4,7,4,1
337,4,4,4,4,4,8,8,2,5
338,4,3,2,2,1,1,1,4,2
339,4,4,4,4,4,8,8,1,6
340,1,1,1,1,1,2,7,1,2
341,2,1,1,1,3,1,7,5,3
342,3,3,2,3,3,2,2,3,2
343,3,4,3,2,3,7,7,3,2
344,2,3,2,3,4,7,7,7,4
345,3,3,2,3,3,2,8,6,4
346,3,1,2,3,1,7,8,2,4
347,4,4,4,4,4,8,7,7,6
348,1,1,1,1,1,7,6,4,1
349,3,3,2,3,2,8,7,4,2
350,2,3,2,3,3,7,8,7,1
351,4,4,3,3,4,8,8,5,5
352,4,4,3,3,3,8,8,7,5
353,3,4,1,3,2,1,1,4,1
354,4,4,4,4,4,1,2,7,6
355,3,3,3,3,3,1,6,3,4
356,3,3,2,3,3,1,8,-1,7
357,2,2,3,2,2,8,7,5,1
358,3,3,3,3,3,2,7,4,5
359,4,4,4,4,4,2,2,7,8
360,3,3,3,3,3,1,8,4,3
361,3,2,2,2,2,1,7,4,1
362,1,1,1,1,1,1,3,1,2
363,4,4,3,3,4,1,1,4,3
364,3,3,3,3,3,1,1,-1,4
365,3,3,3,3,3,8,7,4,4
366,1,1,2,3,3,1,7,5,2
367,4,4,4,4,4,8,8,6,5
368,1,1,1,1,1,1,1,1,1
369,1,3,2,2,3,1,7,2,1
370,1,2,1,2,1,1,7,-1,2
371,3,3,2,2,2,1,1,4,4
372,-1,-1,-1,-1,-1,2,6,-1,3
373,1,1,1,1,1,1,7,7,1
374,2,3,2,2,3,1,3,4,1
375,2,2,2,3,2,1,1,3,4
376,1,1,1,1,1,7,5,4,2
377,1,1,1,1,1,1,8,3,1
378,-1,-1,-1,-1,-1,7,7,-1,-1
379,4,4,4,4,4,1,6,1,1
380,4,4,3,4,4,2,7,-1,6
381,4,3,2,3,3,1,8,4,3
382,4,1,1,4,3,7,7,4,1
383,1,1,1,1,1,7,7,1,1
384,2,2,2,2,2,1,6,3,2
385,1,2,-1,3,1,1,6,2,1
386,4,4,4,4,4,2,2,4,5
387,3,3,1,2,3,2,8,4,2
388,1,1,1,1,1,8,7,1,1
389,3,3,1,3,3,8,1,4,3
390,1,1,1,1,1,1,7,1,1
391,4,3,1,2,3,8,8,1,1
392,2,4,3,3,2,1,1,4,5
393,3,3,2,2,3,8,7,4,2
394,4,4,4,3,4,2,8,1,4
395,2,3,3,3,3,1,8,5,1
396,2,3,2,3,3,8,8,4,3
397,3,3,3,3,3,8,8,4,3
398,3,3,2,3,3,1,6,-1,-1
399,1,1,1,1,1,8,7,7,1
400,1,2,1,2,1,7,8,4,1
401,1,1,1,1,1,6,6,4,2
402,4,3,1,1,3,1,7,1,1
403,4,4,4,4,4,2,2,5,6
404,4,4,-1,4,4,1,-1,1,1
405,3,3,3,3,3,2,2,5,8
406,4,4,3,3,3,8,8,-1,2
407,4,4,1,3,3,1,8,7,8
408,3,-1,1,1,1,1,6,4,1
409,1,1,1,1,1,1,7,1,1
410,-1,-1,-1,-1,-1,7,5,4,1
411,1,1,1,1,1,1,8,4,1
412,1,1,1,1,1,7,8,7,8
413,2,3,3,2,2,1,1,3,6
414,3,3,2,3,3,-1,8,3,4
415,3,4,4,4,3,2,2,4,4
416,2,4,4,4,4,2,2,4,1
417,1,1,1,1,1,6,7,7,1
418,4,4,3,3,4,2,2,4,3
419,4,4,4,4,4,1,1,4,3
420,-1,-1,-1,-1,-1,-1,-1,3,2
421,3,1,4,4,1,1,7,4,1
422,4,4,4,4,4,1,1,4,3
423,4,4,4,2,4,2,2,7,5
424,3,4,4,4,4,1,1,7,4
425,4,4,4,4,4,1,2,7,8
426,1,1,1,1,1,1,7,-1,1
427,2,3,3,3,3,1,1,4,1
428,4,4,4,4,4,1,1,7,6
429,3,3,3,3,3,2,2,1,1
430,1,1,1,1,1,7,7,4,1
431,2,4,3,3,3,1,1,1,4
432,3,3,3,3,3,1,1,4,2
433,3,3,2,3,3,2,7,4,1
434,4,4,4,4,4,1,2,7,8
435,1,1,1,1,1,1,7,4,3
436,3,4,4,4,4,2,2,4,4
437,3,3,1,3,3,2,8,1,1
438,4,4,4,4,4,2,2,4,8
439,4,4,4,4,4,2,2,4,5
440,2,3,3,3,3,1,1,4,3
441,4,4,2,4,4,2,8,2,-1
442,2,2,3,3,1,2,7,4,6
443,1,3,1,1,1,1,7,1,2
444,3,3,3,3,3,1,1,4,3
445,1,1,1,1,1,1,7,6,2
446,1,3,2,3,3,2,7,4,4
447,3,4,2,4,4,8,8,4,4
448,4,4,3,-1,3,1,1,1,3
449,1,1,1,1,1,1,6,4,1
450,2,2,2,2,2,8,8,4,1
451,1,1,1,1,1,2,-1,4,1
452,1,2,2,2,1,8,6,1,2
453,1,1,1,1,1,1,3,3,1
454,3,3,3,3,3,1,1,6,2
455,1,2,1,1,1,1,7,3,1
456,2,2,2,2,2,1,7,4,1
457,1,1,1,1,1,8,7,1,1
458,-1,-1,-1,-1,-1,-1,-1,-1,-1
459,4,4,4,4,4,1,1,6,6
460,2,3,2,2,2,2,2,3,1
461,1,3,1,1,1,7,6,4,1
462,1,1,1,1,1,1,5,4,3
463,1,2,1,1,1,7,7,4,1
464,3,3,2,-1,1,1,7,4,4
465,3,4,2,3,2,1,1,5,1
466,3,3,2,3,2,8,7,4,1
467,3,2,2,3,1,2,2,4,2
468,1,3,2,3,3,1,3,1,6
469,2,2,2,3,1,3,3,4,3
470,2,2,2,2,2,1,1,2,1
471,4,3,2,2,2,7,7,1,4
472,3,3,3,4,3,8,8,7,8
473,4,4,4,4,4,2,8,5,7
474,2,4,2,3,3,1,7,1,3
475,2,2,2,3,2,1,7,4,1
476,1,1,1,3,2,7,7,4,6
477,1,1,1,1,1,1,8,4,1
478,1,1,1,1,1,7,7,4,1
479,1,1,1,1,1,8,5,1,1
480,4,4,3,3,3,1,8,4,6
481,1,1,1,3,3,8,5,4,1
482,1,1,1,1,1,1,3,4,3
483,3,3,2,2,2,1,1,4,5
484,4,4,4,2,3,1,8,4,3
485,1,1,1,1,1,1,3,2,1
486,2,2,1,3,4,8,8,4,3
487,4,3,3,3,4,1,1,5,-1
488,2,4,2,4,4,8,8,7,4
489,4,4,4,4,4,1,8,4,3
490,3,2,2,3,1,7,8,4,1
491,3,3,2,4,3,2,7,7,1
492,4,3,3,3,3,1,1,3,3
493,1,2,1,3,2,7,7,4,2
494,2,2,2,2,2,1,7,-1,-1
495,2,4,2,4,4,1,1,3,3
496,1,1,1,1,1,1,7,4,1
497,-1,-1,-1,3,3,7,7,5,5
498,4,4,4,4,4,8,8,1,3
500,3,4,3,3,3,1,8,3,4
501,1,1,1,1,1,1,3,2,3
502,1,3,2,3,3,1,8,1,1
503,3,3,2,2,4,8,8,1,3
504,3,4,4,4,4,1,7,1,8
505,1,1,1,1,1,1,6,4,1
506,3,4,3,4,3,7,7,2,7
507,3,3,2,3,2,7,3,1,1
508,1,4,1,4,4,1,8,1,2
509,1,1,1,1,1,1,3,4,1
510,3,2,2,2,2,8,3,7,2
511,1,1,1,1,1,1,3,1,1
512,2,2,2,2,2,1,8,4,2
513,4,3,3,3,3,1,-1,1,3
514,4,4,4,4,4,7,7,2,6
515,1,1,1,1,1,3,3,4,1
516,3,1,1,1,2,1,1,1,1
517,1,1,1,1,1,1,5,3,2
518,4,4,4,4,4,8,8,5,7
519,3,3,1,3,3,1,7,-1,-1
520,3,3,3,3,3,2,7,3,4
521,4,3,3,3,2,2,8,4,2
522,4,4,4,4,4,1,8,2,8
523,3,3,3,3,3,8,7,4,5
524,2,3,2,2,3,1,7,4,1
525,4,4,3,3,3,1,1,7,8
526,3,2,2,2,2,1,7,4,2
527,3,3,3,3,3,1,1,5,4
528,3,4,1,4,4,8,7,1,1
529,3,3,3,3,3,1,7,4,2
530,3,3,2,3,3,6,6,6,3
531,1,1,1,1,1,1,7,1,1
532,4,4,3,4,4,1,1,7,1
533,2,3,2,2,3,8,8,5,4
534,1,1,1,1,1,1,7,-1,1
535,2,2,1,2,2,7,7,4,2
536,2,2,2,2,2,1,7,1,1
537,2,2,2,3,3,1,6,3,1
538,4,4,4,4,4,8,7,-1,1
539,2,2,3,3,2,1,1,4,4
540,1,1,1,1,1,1,6,4,1
541,4,4,1,1,4,2,8,1,6
542,4,4,4,4,4,8,8,1,4
543,3,3,1,3,3,1,8,4,1
544,3,4,2,4,4,1,7,2,1
545,4,4,2,3,3,7,8,7,1
546,3,2,2,2,4,8,7,2,1
547,1,1,1,1,1,2,7,1,3
548,1,3,1,4,4,8,7,4,1
549,1,1,1,1,1,1,8,4,8
550,1,1,2,1,1,8,8,4,2
551,1,1,1,1,1,1,7,6,1
552,3,3,3,3,3,1,8,-1,2
553,3,1,2,1,1,6,6,7,1
554,3,4,4,4,4,1,1,4,4
555,4,3,3,3,4,1,1,1,4
556,1,1,1,1,1,5,5,7,2
557,1,3,3,3,2,1,6,1,2
558,3,3,3,4,-1,1,7,-1,2
559,3,4,1,1,4,2,2,7,2
560,3,3,3,3,3,2,2,-1,1
561,4,4,4,4,4,1,1,4,3
562,4,4,4,4,4,1,1,7,1
563,3,3,3,2,2,1,1,5,6
564,2,3,2,2,3,1,1,3,4
565,2,3,2,2,3,1,1,2,3
566,3,3,3,3,3,8,8,3,5
567,3,3,3,3,2,8,8,3,6
568,3,-1,2,2,2,1,7,4,1
569,1,3,3,2,1,1,1,2,4
570,2,2,2,2,2,8,3,1,3
571,4,4,4,4,4,8,8,7,7
572,4,4,4,4,4,7,8,7,-1
573,4,4,2,3,4,1,8,4,1
574,3,2,2,2,1,8,8,1,4
575,3,3,2,3,4,2,2,1,6
576,2,3,2,3,3,1,8,2,2
577,1,1,1,1,1,-1,3,1,1
578,4,4,4,4,4,8,2,2,5
579,3,3,3,3,3,8,7,4,8
580,4,4,3,4,4,8,8,1,4
581,2,3,1,3,4,1,7,7,1
582,3,3,2,3,3,8,8,4,4
583,1,1,1,1,1,1,3,2,1
584,3,4,3,3,3,1,1,4,5
585,4,4,4,4,4,2,8,4,6
586,4,4,4,4,4,8,8,4,1
587,2,3,1,2,3,1,6,6,3
588,4,4,3,4,3,7,7,3,2
589,3,3,3,3,3,1,1,7,5
590,2,3,2,3,2,1,1,4,2
591,4,4,4,4,4,1,6,6,1
592,3,4,3,3,3,1,1,5,4
593,4,4,4,4,4,3,8,7,8
594,1,1,1,1,1,2,3,4,1
595,3,2,3,3,-1,8,8,5,1
596,4,3,3,3,3,7,8,5,6
597,2,4,4,4,4,1,1,3,5
598,1,2,2,2,2,1,7,4,1
599,1,1,1,1,1,8,7,2,1
600,3,3,2,3,2,1,1,4,2
601,4,4,4,4,2,8,-1,-1,7
602,1,1,2,3,3,1,8,1,2
603,1,3,2,2,2,1,1,-1,-1
604,1,1,1,1,1,1,5,4,1
605,4,4,4,4,4,1,1,2,3
606,1,1,1,1,1,1,6,1,1
607,2,1,2,4,1,1,8,7,3
608,4,4,3,3,2,1,1,4,3
609,2,3,2,2,3,1,8,1,3
610,1,2,2,1,2,1,7,3,2
611,2,3,2,2,1,1,1,1,1
612,-1,-1,-1,-1,-1,1,1,7,2
613,4,2,2,2,4,1,7,1,1
614,2,3,4,4,4,1,1,7,6
615,2,2,2,2,3,1,6,4,3
616,1,1,1,1,1,1,5,4,1
617,1,3,2,-1,1,-1,8,4,2
618,1,1,1,1,1,1,7,2,3
619,4,4,4,4,4,1,8,4,5
620,4,-1,2,-1,-1,1,1,-1,-1
621,1,1,1,1,1,1,6,3,1
622,-1,-1,-1,-1,-1,1,7,-1,4
623,4,4,4,4,4,8,8,7,7
624,4,3,4,4,3,2,8,3,7
625,3,3,3,3,3,7,8,4,3
626,1,1,1,1,1,2,8,1,1
627,1,1,1,1,1,2,6,4,1
628,2,4,3,4,4,8,8,4,2
629,1,1,1,1,1,1,8,2,2
630,2,2,1,3,2,8,5,2,4
631,4,4,3,4,4,1,7,4,4
632,2,2,2,2,2,2,7,1,3
633,2,2,2,2,2,1,7,4,1
634,1,1,1,1,1,2,7,4,3
635,4,1,1,1,1,8,8,7,1
636,1,2,1,3,2,-1,-1,5,1
637,4,4,3,3,4,1,1,4,4
638,1,1,1,1,1,7,7,4,1
639,3,3,3,3,3,8,8,4,6
640,2,3,1,3,3,1,8,2,3
641,2,2,1,3,2,7,5,3,1
642,4,4,4,4,4,1,8,1,3
643,1,3,2,3,2,7,8,4,2
644,3,3,4,4,3,1,1,3,6
645,3,3,2,2,2,1,1,4,3
646,2,3,2,3,2,7,7,1,3
647,1,1,1,1,1,1,7,1,1
648,1,1,1,1,1,7,7,6,7
649,2,2,2,2,2,5,5,4,3
650,1,1,1,1,1,1,7,2,2
651,1,1,1,1,1,1,3,1,1
652,3,3,2,3,3,1,1,1,5
653,4,4,4,3,3,1,1,1,5
654,2,3,2,3,2,1,1,4,3
655,1,1,1,1,1,1,6,1,4
656,1,1,1,1,1,1,7,1,1
657,3,4,2,4,4,8,7,1,4
658,-1,-1,-1,-1,-1,-1,-1,7,4
659,1,1,1,1,2,1,1,1,2
660,1,1,1,1,1,7,8,7,4
661,3,4,3,3,-1,8,7,4,2
662,3,3,4,4,-1,2,8,4,2
663,1,3,1,1,1,1,7,3,1
664,3,3,1,2,3,1,-1,1,3
665,1,2,1,3,3,1,7,4,2
666,1,1,1,1,1,1,7,3,1
667,4,4,2,3,1,1,1,4,3
668,1,1,1,1,1,1,3,3,2
669,2,3,2,3,2,1,1,2,3
670,2,2,1,2,4,1,8,4,2
671,2,3,2,1,2,1,1,4,4
672,3,3,3,3,3,-1,-1,1,6
673,3,3,2,2,2,1,2,6,6
674,1,1,1,3,1,1,5,2,1
675,1,3,1,3,1,1,8,4,4
676,4,4,3,3,4,1,1,2,4
677,4,4,2,4,4,1,1,7,2
678,1,2,1,1,1,1,7,4,3
679,1,1,1,1,1,6,7,4,1
680,1,1,1,1,1,8,7,3,1
681,3,3,3,3,4,2,7,5,2
682,3,4,4,4,3,8,8,7,8
683,3,3,3,2,3,1,1,4,4
684,4,4,3,3,4,1,8,6,1
685,2,2,2,3,2,1,1,3,4
686,4,4,2,3,4,1,8,7,3
687,1,1,1,1,1,1,6,3,1
689,1,1,1,3,1,2,2,4,1
690,2,3,2,2,3,1,1,4,3
691,2,3,2,2,3,1,7,1,2
